TeD,TrD1,TrD2,TrD3,TrD4,TrD5,TrD6,TrD7,TrD8,model,score,Sum
TeD6,0,0,0,0,0,1,1,0,M3,0.644127019165449,2
TeD6,1,0,0,0,0,1,0,0,M3,0.650184237383823,2
TeD6,0,1,0,0,1,0,1,0,M3,0.64933360438483,3
TeD6,1,0,1,1,1,1,1,1,M3,0.653542515435912,7
TeD6,1,1,0,0,0,0,0,0,M3,0.485640242966422,2
TeD6,0,1,1,0,1,1,0,0,M3,0.645956164184735,4
TeD6,0,0,0,0,0,1,0,1,M3,0.704362038761407,2
TeD6,0,1,0,0,0,1,0,1,M3,0.624948264241142,3
TeD6,0,0,1,1,1,1,1,1,M3,0.681448731928585,6
TeD6,0,0,0,0,1,1,0,0,M3,0.640334071248469,2
TeD6,0,1,0,0,0,0,0,1,M3,0.601142494797669,2
TeD6,0,1,0,0,1,1,1,0,M3,0.672651048886401,4
TeD6,0,1,0,0,0,1,0,0,M3,0.577603311878337,2
TeD6,0,1,0,1,0,1,0,1,M3,0.644262036714449,4
TeD6,1,1,0,0,1,0,0,0,M3,0.63793724656625,3
TeD6,0,1,0,0,1,1,0,1,M3,0.680192610124731,4
TeD6,0,0,1,0,0,1,0,1,M3,0.641450238333351,3
TeD6,0,1,0,1,0,1,0,0,M3,0.600071909058574,3
TeD6,1,1,1,1,1,0,1,0,M3,0.671525304680146,6
TeD6,0,1,1,0,0,0,1,0,M3,0.630774446306148,3
